record_id,message_length,num_code_terms,num_text_terms_parts,min_length_text_terms,max_length_text_terms,avg_length_text_terms
403,5,250,1,5,5,5
1197,12,60,1,12,12,12
6834,5,30,1,5,5,5
1183,16,173,2,16,36,26
417,12,2072,2,12,30,21
3794,9,66,1,9,9,9
4945,4,126,1,4,4,4
5483,15,380,2,10,15,12
371,8,133,1,8,8,8
359,11,382,1,11,11,11
1815,6,447,3,6,120,65
3964,16,36,1,16,16,16
3970,3,692,1,3,3,3
6808,22,140,2,22,32,27
1801,10,19,1,10,10,10
4979,13,176,2,13,120,66
4992,11,29,1,11,11,11
5454,18,594,2,18,18,18
3025,23,1050,3,23,188,83
7243,4,417,2,4,44,24
1632,3,66,1,3,3,3
1154,9,82,1,9,9,9
3743,32,49,1,32,32,32
5332,2,198,1,2,2,2
3757,14,431,1,14,14,14
4038,7,96,1,7,7,7
5326,4,78,1,4,4,4
2449,17,366,3,17,172,87
1140,9,505,2,9,119,64
7257,6,134,1,6,6,6
6149,8,528,1,8,8,8
1626,3,86,2,3,49,26
4986,19,1045,1,19,19,19
5440,19,66,1,19,19,19
3031,13,60,1,13,13,13
6161,25,177,1,25,25,25
2307,21,450,1,21,21,21
5468,10,71,1,10,10,10
4776,8,10,1,8,8,8
3019,6,668,1,6,6,6
4010,14,964,1,14,14,14
2461,14,567,1,14,14,14
1168,21,686,2,21,35,28
6607,9,1151,1,9,9,9
6613,10,289,1,10,10,10
4004,6,196,3,6,24,16
2475,13,161,1,13,13,13
2313,3,66,1,3,3,3
4762,3,27,1,3,3,3
6175,4,68,1,4,4,4
99,1,100,2,1,18,9
1395,6,106,1,6,6,6
601,6,252,1,6,6,6
2844,69,1409,1,69,69,69
3582,5,208,1,5,5,5
5695,8,6479,6,8,5699,1323
7082,8,1149,5,8,178,76
167,2,494,1,2,2,2
7096,2,28,1,2,2,2
173,24,253,2,24,38,31
6388,5,46,1,5,5,5
5681,3,1,1,3,3,3
5859,23,91,1,23,23,23
2850,9,32,1,9,9,9
3596,5,166,1,5,5,5
2688,20,1490,1,20,20,20
1381,8,227,1,8,8,8
2878,16,120,4,16,191,64
5871,10,27,1,10,10,10
5865,5,105,1,5,5,5
5130,15,32,1,15,15,15
2887,12,994,3,12,14,13
3541,17,167,1,17,17,17
6439,12,90,6,12,70,36
1356,22,118,5,12,31,23
1430,12,299,1,12,12,12
7041,10,17,1,10,10,10
3227,8,1285,1,8,8,8
8,86,412,1,86,86,86
4548,21,205,2,21,115,68
5656,13,7,1,13,13,13
2139,10,59,1,10,10,10
3233,8,43,1,8,8,8
5642,9,30,1,9,9,9
1424,11,152,2,11,35,23
7055,16,94,1,16,16,16
1342,8,54,1,8,8,8
5124,10,330,1,10,10,10
2893,3,1531,1,3,3,3
3555,33,272,1,33,33,33
6405,7,1350,1,7,7,7
66,9,545,1,9,9,9
2663,28,461,1,28,28,28
4212,12,257,2,12,33,22
4574,9,30,1,9,9,9
2105,18,97,2,18,34,26
198,13,17,1,13,13,13
6363,4,43,1,4,4,4
1418,5,1448,1,5,5,5
6377,14,113,4,14,181,71
7069,1,144,1,1,1,1
4560,12,42,1,12,12,12
2111,9,14,1,9,9,9
2677,9,239,1,9,9,9
5118,11,218,1,11,11,11
4206,12,238,1,12,12,12
3569,11,123,1,11,11,11
832,15,42,1,15,15,15
72,6,616,2,6,59,32
6411,8,4006,5,8,751,310
775,16,185,1,16,16,16
5087,13,25,1,13,13,13
2930,12,932,1,12,12,12
4399,4,40,1,4,4,4
3390,23,1710,1,23,23,23
5939,10,21,1,10,10,10
1587,12,55,1,12,12,12
1593,10,26,1,10,10,10
3384,8,606,2,8,110,59
5093,15,625,1,15,15,15
2924,5,2902,4,5,49,38
761,5,53,1,5,5,5
749,18,216,1,18,18,18
5905,12,235,4,12,51,29
5911,7,1290,1,7,7,7
985,28,40,1,28,28,28
2918,11,1514,2,11,46,28
3435,1,88,1,1,1,1
5044,6,85,1,6,6,6
7135,9,24,1,9,9,9
1544,9,79,1,9,9,9
5722,17,113,1,17,17,17
3353,28,310,1,28,28,28
2059,4,122,1,4,4,4
5736,12,43,1,12,12,12
4428,14,105,1,14,14,14
3347,6,73,1,6,6,6
7121,11,286,1,11,11,11
1550,7,63,1,7,7,7
1236,5,38,1,5,5,5
6559,1,208,1,1,1,1
3421,6,890,1,6,6,6
5050,39,1026,3,39,184,96
6571,11,734,1,11,11,11
952,12,254,2,12,25,18
3409,1,195,1,1,1,1
4366,10,225,1,10,10,10
5078,12,124,1,12,12,12
2717,11,12,1,11,11,11
2071,13,467,1,13,13,13
4400,10,123,1,10,10,10
7109,7,420,1,7,7,7
6217,22,397,1,22,22,22
1578,3,221,1,3,3,3
6203,9,131,1,9,9,9
2065,25,187,2,25,35,30
4414,8,67,1,8,8,8
4372,9,96,1,9,9,9
2703,31,53,1,31,31,31
6565,5,190,1,5,5,5
946,9,284,1,9,9,9
211,18,1794,2,18,453,235
1785,47,143,2,47,48,47
4825,8,692,1,8,8,8
3192,9,560,2,9,35,22
5285,15,1169,2,15,39,27
577,6,206,1,6,6,6
6954,4,62,2,2,4,3
6798,4,384,1,4,4,4
563,6,73,1,6,6,6
6940,10,60,1,10,10,10
5291,9,249,1,9,9,9
3838,4,199,1,4,4,4
4831,13,81,1,13,13,13
2298,17,41,1,17,17,17
3186,13,230,1,13,13,13
1949,11,670,1,11,11,11
1791,10,31,1,10,10,10
205,6,2091,1,6,6,6
4819,16,561,1,16,16,16
1961,22,344,1,22,22,22
